A,B,C,D,E,F
33,194.19,29,336.42,19.1532,52.6228
26,145.35,30,346.25,36.8619,25.8109
27,152.42,14,186.09,37.3432,14.3347
15,68.02,23,276.52,-29.5,-51.0955
11,40.07,25,296.22,58.8674,51.1726
10,33,18,226.48,6.18036,19.0211
28,159.03,5,96.56,-60.8112,-60.8111
11,40.5,7,116.22,36.6188,68.8699
32,187.5,12,166.12,0,0
10,33.48,8,126.04,-2.80074,-1.0751
23,124.56,29,336.51,13.1512,26.9638
1,-29.65,7,116.15,-35.5566,-83.7659
28,159.38,7,116.32,-20.6732,-7.52444
14,61.07,19,236.43,24.9872,51.2312
24,131.36,23,276.1,-52.3259,-52.3259
19,96.07,11,155.98,23.0703,6.61529
30,173.14,11,156.07,14.2658,4.63525
12,47.32,26,306.16,22.2189,57.882
37,222.33,15,196.53,47.2295,26.1797
7,12.36,4,86.27,-33.9411,-33.9411
22,117.2,32,366.1,50.5525,67.0853
14,61.24,17,216.55,96.277,11.8213
31,180.18,19,236.34,-35.7929,-80.392
33,194.06,29,336.37,-42.7482,-71.1449
5,-1.58,35,395.98,29.0163,19.5717
23,124.35,22,266.33,1.31512,2.69638
36,215.27,6,106.11,23.2574,63.8991
18,89.48,36,406.35,36.1089,47.9181
19,96.5,10,146.06,-20.3952,-62.7697
25,138.28,12,165.97,21.9762,47.128
19,96.12,10,146.1,2.36403,1.84698
32,187.49,15,196.55,-41.5913,-5.84527
33,194.33,6,106.18,17.5807,51.058
30,173.43,32,366.09,-24.0615,-47.2233
19,96.21,9,136.41,-8.47872,-13.5688
4,-8.88,8,126.43,18.3697,21.1319
31,180.18,36,406.04,-10.3927,-27.0738
22,117.34,2,66.26,-17.0896,-59.5982
27,152.37,27,316.56,27.9878,15.5139
37,222.21,10,146.43,-3.90683,-11.3462
39,236.01,21,255.97,25.2177,56.6398
24,131.5,22,266.29,-18.6716,-7.16735
18,89.2,23,276.17,-12.6082,-9.85058
9,26.28,26,306.33,-35.8363,-33.4179
22,117.05,14,186.09,24.0572,12.2577
30,173.55,18,226.48,-19.9388,-9.29759
33,194.11,14,186.44,-76.5536,-29.3861
5,-1.87,21,256.45,21.3222,65.6229
34,201.27,9,136.37,-20.7088,-48.7867
10,33.38,12,166.02,47.4765,45.8474
39,236.33,10,146.55,-58.4622,-13.4971
38,229.3,15,196.01,48.864,17.785
3,-15.65,22,266.53,-1.7659,-0.938942
34,201.09,33,376,-41.3926,-63.7389
15,68.52,14,186.16,71.2805,36.3192
39,236.56,0,46.06,8.15677,3.80356
9,26.17,25,296.33,-50.5525,-67.0853
2,-22.64,8,126.33,-53.6749,-34.8569
39,236.47,23,276.09,2.34736,4.41474
25,138.49,2,66.48,-7.87158,-4.36328
3,-15.81,26,306.52,22.6506,3.99391
36,215.02,35,396.38,14.6931,38.2768
31,180.32,23,276.28,-47.9315,-49.6344
10,33.39,33,376.3,-20.4296,-40.0953
32,187.29,2,66.44,-4.6679,-1.79184
1,-29.45,8,126.36,-14.1828,-4.88352
27,152.18,9,136.19,23.87,25.5974
18,89.43,30,346.19,12.0444,13.3766
5,-1.63,36,406.36,66.9809,52.3312
9,26.14,35,396.49,63.7565,5.57796
18,89.15,20,246.15,34.7686,12.6547
22,117.41,19,236.4,13.9764,36.4096
38,229.54,32,366.45,-28.7838,-3.53421
1,-29.86,22,266.06,-20.3532,-12.7181
32,187.42,25,296.16,62.0168,30.2476
21,110.16,19,236.1,57.603,79.2836
19,96.29,25,296.47,-71.1136,-11.2633
24,131.03,34,386.13,-4.32625,-13.3148
39,236.16,14,186.1,44.1158,67.9323
21,110.5,8,126.15,-20.5725,-28.3156
19,96.23,29,336.48,-58.2177,-14.5153
12,47.28,23,276.54,-78.0131,-60.9504
34,201.54,29,336.17,-49.7907,-44.8317
37,222.01,19,236.09,-18.0214,-12.6187
14,61.56,5,96.31,-87.8993,-23.5525
16,74.97,29,336.34,6.33968,22.109
16,75.12,32,366.28,-3.70944,-5.93633
35,208.16,10,146.53,-14.0229,-38.5274
36,215.13,20,246.52,-77.2741,-20.7055
7,12.44,29,336.29,89.8311,24.0702
35,208.06,10,146.21,-27.8121,-46.287
5,-1.69,29,336.06,-27.8121,-46.287
22,117.1,25,296.01,-84.9558,-32.6115
11,40.14,5,96,-30.8538,-36.7701
33,194.48,4,86.31,12.8644,42.0774
4,-8.72,7,116.04,76.0919,42.1784
21,110.49,20,246.19,24.6744,32.744
29,166.32,11,156.11,-4.76928,-7.63243
11,39.99,10,146.25,15.5885,8.99999
33,194.48,26,306.15,-43.1263,-32.498
28,159.47,5,96.12,-90.3217,-11.0901
1,-29.73,16,206.19,2.93893,4.04508
0,-36.49,16,206.01,39.1259,8.31646
17,82.4,2,66.16,74.5429,52.1954
26,145.34,23,276.5,-12.6138,-3.14498
7,12.52,32,366.1,49.7261,5.22642
37,222.01,24,286.11,-67.618,-65.2978
35,208.55,15,196.09,58.2609,21.2052
31,180.28,11,156.22,-23.1604,-17.4526
17,82.54,11,156.18,-34.9792,-14.8478
30,173.19,5,96.31,25.4364,83.1985
16,75.41,12,166.29,35.3554,35.3553
1,-29.57,8,126.13,33.7147,83.4465
3,-15.62,14,186.11,26.41,5.61361
9,26.01,15,196.29,35.9009,8.9511
23,124.17,11,156.45,-5.97717,-0.522934
16,75.39,15,195.97,54.9927,49.5156
30,173.04,15,196.48,48.2091,57.4533
26,145.36,27,315.97,-30.0009,-18.0263
30,173.43,2,66.54,58.7755,5.14218
26,144.99,20,246.27,53.1444,31.9323
20,103.28,9,136.44,9.52628,5.5
17,82.51,23,276.49,16.6652,54.5094
38,229.4,9,136.54,-15.3909,-42.2862
35,208.02,21,256.34,17.57,13.2399
9,25.98,26,305.98,25.0795,18.2213
8,19.4,32,366.14,22.6506,3.99391
24,131.17,21,256.24,70.1546,16.1965
